id,name,active,code_labor,description,rata_labor,unidad_medida,cantidad_minima,cantidad_maxima,equivalencia_tiempo,observacion
470,N31 - REPARACION DE CAMINOS CAÑEROS,true,N31,REPARACION DE CAMINOS CAÑEROS,1.87,,0,0,0,
471,N32 - REPARACION DE CAM TRANSITORIOS,true,N32,REPARACION DE CAM TRANSITORIOS,1.87,,0,0,0,
472,N43 - RELLENOS,true,N43,RELLENOS,1.87,,0,0,0,
473,N44 - RIEGO DE AGUA,true,N44,RIEGO DE AGUA,1.87,,0,0,0,
474,N45 - REPARTO DE COMBUSTIBLE,true,N45,REPARTO DE COMBUSTIBLE,1.87,,0,0,0,
475,N55 - TRANSPORTE DE ABONO,true,N55,TRANSPORTE DE ABONO,1.87,,0,0,0,
476,N56 - TRANSPORTE DE PERSONAL,true,N56,TRANSPORTE DE PERSONAL,1.87,,0,0,0,
477,N58 - ACUMULAR MATERIAL,true,N58,ACUMULAR MATERIAL,1.87,,0,0,0,
478,N61 - TRANSPORTE DE CAL,true,N61,TRANSPORTE DE CAL,1.87,,0,0,0,
479,N62 - TRANSPORTE DE CEMENTO,true,N62,TRANSPORTE DE CEMENTO,1.87,,0,0,0,
480,N67 - SERVICIO DE GRUA,true,N67,SERVICIO DE GRUA,1.87,,0,0,0,
481,N80 - ACUMULAR CASCARILLA,true,N80,ACUMULAR CASCARILLA,1.87,,0,0,0,
482,N81 - TRANSPORTE DE CASCARILLA,true,N81,TRANSPORTE DE CASCARILLA,1.87,,0,0,0,
